Facility ID,Latitude,Longitude,Building Count,Total Building Footprint,Building as % of Area,Footprint per building,Highway,Trunk Road,Primary Road,Secondary Road,Tertiary Road,Residential Road,Railway,Parking Lot,Residential Area,Commercial Area,Retail Area,Industrial Area,Railway Area,Cemetery,Woodland,Park,Recreation,Education,Health Care,Water,Beach
2261,40.7005878,-73.8077342,834,"345,640",0.68,414,0,0,0,11329.98,3936.97,20092.65,56938.44,19394.96,0,0,0,229.41,32553.92,0,0,80648.17,0,1055.07,0,0,0
5104,40.4105962,-80.0199344,833,"141,114",0.28,169,0,0,1652.5,0,25454.49,123966.05,0,827.23,0,0,0,0,0,0,133542.63,23503.12,0,3507.2,0,0,0
2118,40.6622842,-73.9107867,832,"241,545",0.47,290,0,0,0,0,31.97,6218.59,0,5836.41,248206.48,0,0,0,0,0,0,6209.63,34522.93,22422.03,0,0,0
8803,38.8055767,-77.0548679,831,"290,810",0.57,350,0,1987.29,461.34,229.21,4966.16,18054.61,0,65048.34,191620.56,393801.55,305792.42,0,0,44248.7,0,31892.16,16542.31,40548.67,0,756.56,0
2014,40.6604825,-73.9982318,831,"314,783",0.62,379,2505250.36,0,14.91,53077,94.09,3455.05,0,13022.61,0,0,0,13151.72,0,0,0,0,1614.41,18305.98,0,0,0
2238,40.7075958,-73.8037725,831,"276,075",0.54,332,0,0,6.3,0,56190.48,123129.71,0,29194.9,0,0,0,0,0,16938.91,0,80648.17,25052.16,19917.86,0,0,0
17058,45.5626611,-122.6823698,831,"225,130",0.44,271,11225.35,0,0,2594.66,10290.84,29482.9,0,7466.7,2055868.03,4982.85,0,0,0,0,960.35,10563.64,212.79,0,0,0,0
2084,40.7086559,-73.9583631,830,"291,014",0.57,351,59167.6,0,1596.77,13332.17,5654.68,100974.98,0,3904,27632,0,0,0,0,0,0,35070.01,13985.36,19455.68,0,0,0
6286,34.110497,-118.1928807,829,"221,798",0.44,268,0,0,0,0.77,15140.91,459853.36,0,59333.41,607616.95,96666.05,14548.36,1756.83,2557.36,0,0,260.16,489.14,39338.58,0,0,0
5623,33.907861,-118.2084618,829,"219,785",0.43,265,0,0,1146.44,0,7074.78,311998.27,0,2864.8,2550631.39,0,174220.89,0,0,0,0,0,451.48,0,0,0,0
